,alt,target,error
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,1,1,0
106,1,1,0
107,1,1,0
108,1,1,0
109,1,1,0
110,1,1,0
111,1,1,0
112,1,1,0
113,1,1,0
114,1,1,0
115,1,1,0
116,1,1,0
117,1,1,0
118,1,1,0
119,1,1,0
120,1,1,0
121,1,1,0
122,1,1,0
123,1,1,0
124,1,1,0
125,1,1,0
126,1,1,0
127,1,1,0
128,1,1,0
129,1,1,0
130,1,1,0
131,1,1,0
132,1,1,0
133,1,1,0
134,1,1,0
135,1,1,0
136,1,1,0
137,1,1,0
138,1,1,0
139,1,1,0
140,2,2,0
141,1,1,0
142,1,1,0
143,1,1,0
144,1,1,0
145,1,1,0
146,1,1,0
147,1,1,0
148,0,0,0
149,0,0,0
150,0,0,0
151,0,0,0
152,0,0,0
153,0,0,0
154,0,0,0
155,0,0,0
156,0,0,0
157,0,0,0
158,0,0,0
159,0,0,0
160,0,0,0
161,0,0,0
162,0,0,0
163,0,0,0
164,0,0,0
165,0,0,0
166,0,0,0
167,0,0,0
168,0,0,0
169,0,0,0
170,1,1,0
171,1,1,0
172,1,1,0
173,1,1,0
174,1,1,0
175,2,2,0
176,2,2,0
177,2,2,0
178,2,2,0
179,2,2,0
180,2,2,0
181,2,2,0
182,2,2,0
183,2,2,0
184,1,1,0
185,1,1,0
186,1,1,0
187,1,1,0
188,0,0,0
189,0,0,0
190,0,0,0
191,0,0,0
192,0,0,0
193,0,0,0
194,0,0,0
195,0,0,0
196,0,0,0
197,0,0,0
198,0,0,0
199,0,0,0
200,0,0,0
201,1,1,0
202,1,1,0
203,1,1,0
204,2,2,0
205,2,2,0
206,2,2,0
207,2,2,0
208,2,2,0
209,2,2,0
210,2,2,0
211,2,2,0
212,2,2,0
213,2,2,0
214,1,1,0
215,1,1,0
216,1,1,0
217,1,1,0
218,0,0,0
219,0,0,0
220,0,0,0
221,0,0,0
222,0,0,0
223,0,0,0
224,0,0,0
225,0,0,0
226,0,0,0
227,0,0,0
228,0,0,0
229,0,0,0
230,0,0,0
231,0,0,0
232,0,0,0
233,0,0,0
234,1,1,0
235,1,1,0
236,1,1,0
237,1,1,0
238,1,1,0
239,1,1,0
240,1,1,0
241,1,1,0
242,1,1,0
243,1,1,0
244,1,1,0
245,1,1,0
246,1,1,0
247,1,1,0
248,1,1,0
249,1,1,0
250,1,1,0
251,1,1,0
252,1,1,0
253,1,1,0
254,1,1,0
255,1,1,0
256,1,1,0
257,1,1,0
258,1,1,0
259,1,1,0
260,1,1,0
261,1,1,0
262,1,1,0
263,1,1,0
264,1,1,0
265,1,1,0
266,1,1,0
267,1,1,0
268,1,1,0
269,1,1,0
270,1,1,0
271,1,1,0
272,1,1,0
273,1,1,0
274,1,1,0
275,1,1,0
276,1,1,0
277,1,1,0
278,1,1,0
279,1,1,0
280,1,1,0
281,1,1,0
282,1,1,0
283,1,1,0
284,1,1,0
285,1,1,0
286,1,1,0
287,1,1,0
288,1,1,0
289,1,1,0
290,1,1,0
