,automatic,point,GPS Time,lat_drone,lon_drone,altitude
0,0,8,207603600,37.697692,127.606823,6
1,0,8,207604000,37.697691,127.606823,6
2,0,8,207605000,37.697690,127.606825,6
3,0,8,207606000,37.697691,127.606825,6
4,0,8,207607000,37.697691,127.606825,6
5,0,8,207608200,37.697693,127.606825,6
6,0,8,207609200,37.697692,127.606825,6
7,0,8,207610200,37.697692,127.606826,6
8,0,8,207611200,37.697693,127.606826,6
9,0,8,207612000,37.697693,127.606827,6
10,0,8,207613000,37.697693,127.606827,6
11,0,8,207614000,37.697693,127.606828,6
