,automatic,point,GPS Time,lat_drone,lon_drone,altitude
0,1,5,32112342,38.00123112,127.12312342,21
1,1,5,32112342,38.00123112,127.12312342,21
2,1,5,32112342,38.00123112,127.12312342,21
3,1,5,32112342,38.00123112,127.12312342,21
4,1,5,32112342,38.00123112,127.12312342,21
5,1,5,32112342,38.00123112,127.12312342,21
6,1,5,32112342,38.00123112,127.12312342,21
7,1,5,32112342,38.00123112,127.12312342,21
8,1,5,32112342,38.00123112,127.12312342,21
9,1,5,32112342,38.00123112,127.12312342,21
10,1,5,32112342,38.00123112,127.12312342,21
11,1,5,32112342,38.00123112,127.12312342,21
12,1,5,32112342,38.00123112,127.12312342,21
13,1,5,32112342,38.00123112,127.12312342,21
14,1,5,32112342,38.00123112,127.12312342,21
15,1,5,32112342,38.00123112,127.12312342,21
16,1,5,32112342,38.00123112,127.12312342,21
17,1,5,32112342,38.00123112,127.12312342,21
18,1,5,32112342,38.00123112,127.12312342,21
19,1,5,32112342,38.00123112,127.12312342,21
20,1,5,32112342,38.00123112,127.12312342,21
21,1,5,32112342,38.00123112,127.12312342,21
22,1,5,32112342,38.00123112,127.12312342,21
23,1,5,32112342,38.00123112,127.12312342,21
24,1,5,32112342,38.00123112,127.12312342,21
25,1,5,32112342,38.00123112,127.12312342,21
26,1,5,32112342,38.00123112,127.12312342,21
27,1,5,32112342,38.00123112,127.12312342,21
28,1,5,32112342,38.00123112,127.12312342,21
29,1,5,32112342,38.00123112,127.12312342,21
30,1,5,32112342,38.00123112,127.12312342,21
31,1,5,32112342,38.00123112,127.12312342,21
32,1,5,32112342,38.00123112,127.12312342,21
33,1,5,32112342,38.00123112,127.12312342,21
34,1,5,32112342,38.00123112,127.12312342,21
35,1,5,32112342,38.00123112,127.12312342,21
36,1,5,32112342,38.00123112,127.12312342,21
37,1,5,32112342,38.00123112,127.12312342,21
38,1,5,32112342,38.00123112,127.12312342,21
39,1,5,32112342,38.00123112,127.12312342,21
40,1,5,32112342,38.00123112,127.12312342,21
41,1,5,32112342,38.00123112,127.12312342,21
42,1,5,32112342,38.00123112,127.12312342,21
43,1,5,32112342,38.00123112,127.12312342,21
44,1,5,32112342,38.00123112,127.12312342,21
45,1,5,32112342,38.00123112,127.12312342,21
46,1,5,32112342,38.00123112,127.12312342,21
47,1,5,32112342,38.00123112,127.12312342,21
48,1,5,32112342,38.00123112,127.12312342,21
49,1,5,32112342,38.00123112,127.12312342,21
50,1,5,32112342,38.00123112,127.12312342,21
51,1,5,32112342,38.00123112,127.12312342,21
52,1,5,32112342,38.00123112,127.12312342,21
53,1,5,32112342,38.00123112,127.12312342,21
54,1,5,32112342,38.00123112,127.12312342,21
55,1,5,32112342,38.00123112,127.12312342,21
56,1,5,32112342,38.00123112,127.12312342,21
57,1,5,32112342,38.00123112,127.12312342,21
58,1,5,32112342,38.00123112,127.12312342,21
59,1,5,32112342,38.00123112,127.12312342,21
60,1,5,32112342,38.00123112,127.12312342,21
61,1,5,32112342,38.00123112,127.12312342,21
62,1,5,32112342,38.00123112,127.12312342,21
63,1,5,32112342,38.00123112,127.12312342,21
64,1,5,32112342,38.00123112,127.12312342,21
65,1,5,32112342,38.00123112,127.12312342,21
66,1,5,32112342,38.00123112,127.12312342,21
67,1,5,32112342,38.00123112,127.12312342,21
68,1,5,32112342,38.00123112,127.12312342,21
69,1,5,32112342,38.00123112,127.12312342,21
70,1,5,32112342,38.00123112,127.12312342,21
71,1,5,32112342,38.00123112,127.12312342,21
72,1,5,32112342,38.00123112,127.12312342,21
73,1,5,32112342,38.00123112,127.12312342,21
74,1,5,32112342,38.00123112,127.12312342,21
75,1,5,32112342,38.00123112,127.12312342,21
76,1,5,32112342,38.00123112,127.12312342,21
77,1,5,32112342,38.00123112,127.12312342,21
78,1,5,32112342,38.00123112,127.12312342,21
79,1,5,32112342,38.00123112,127.12312342,21
80,1,5,32112342,38.00123112,127.12312342,21
81,1,5,32112342,38.00123112,127.12312342,21
82,1,5,32112342,38.00123112,127.12312342,21
83,1,5,32112342,38.00123112,127.12312342,21
84,1,5,32112342,38.00123112,127.12312342,21
85,1,5,32112342,38.00123112,127.12312342,21
86,1,5,32112342,38.00123112,127.12312342,21
87,1,5,32112342,38.00123112,127.12312342,21
88,1,5,32112342,38.00123112,127.12312342,21
89,1,5,32112342,38.00123112,127.12312342,21
90,1,5,32112342,38.00123112,127.12312342,21
91,1,5,32112342,38.00123112,127.12312342,21
92,1,5,32112342,38.00123112,127.12312342,21
93,1,5,32112342,38.00123112,127.12312342,21
94,1,5,32112342,38.00123112,127.12312342,21
95,1,5,32112342,38.00123112,127.12312342,21
96,1,5,32112342,38.00123112,127.12312342,21
97,1,5,32112342,38.00123112,127.12312342,21
98,1,5,32112342,38.00123112,127.12312342,21
99,1,5,32112342,38.00123112,127.12312342,21
100,1,5,32112342,38.00123112,127.12312342,21
101,1,5,32112342,38.00123112,127.12312342,21
102,1,5,32112342,38.00123112,127.12312342,21
103,1,5,32112342,38.00123112,127.12312342,21
